RestingMembranePotential,SpikeAmplitude,Species,Strain,ElectrodeType,PrepType,NeuronType,Title,PubYear,PubmedLink,DataTableLinks,ArticleLink,LastAuthor
-80,63.4,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Predomice of late-spiking neurons in layer VI of rat perirhinal cortex.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11438572/,http://neuroelectro.org/data_table/3021/,http://neuroelectro.org/article/14292/,Brown TH
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Major differences in inhibitory synaptic transmission onto two neocortical interneuron subclasses.,2003,http://www.ncbi.nlm.nih.gov/pubmed/14573546/,http://neuroelectro.org/data_table/2687/,http://neuroelectro.org/article/23747/,Prince DA
-72.32,38.3,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Subtype-specific dendritic Ca(2+) dynamics of inhibitory interneurons in the rat visual cortex.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20554844/,http://neuroelectro.org/data_table/152/,http://neuroelectro.org/article/27420/,Rhie DJ
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,GABAA receptor-mediated currents in interneurons and pyramidal cells of rat visual cortex.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9503333/,http://neuroelectro.org/data_table/8339/,http://neuroelectro.org/article/28721/,Prince DA
-67.4,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Differential effects of Na+-K+ ATPase blockade on cortical layer V neurons.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20819946/,http://neuroelectro.org/data_table/8365/,http://neuroelectro.org/article/29326/,Prince DA
-67.88,,Mice,C57BL,Patch-clamp,in vitro,Neocortex basket cell,Characterization of thalamocortical responses of regular-spiking and fast-spiking neurons of the mouse auditory cortex in vitro and in silico.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22090462/,http://neuroelectro.org/data_table/12/,http://neuroelectro.org/article/33698/,Reyes AD
-65.8,,Mice,C57BL,Patch-clamp,in vitro,Neocortex basket cell,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20538767/,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/,Connors BW
-65.6,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Response sensitivity of barrel neuron subpopulations to simulated thalamic input.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20375248/,http://neuroelectro.org/data_table/159/; http://neuroelectro.org/data_table/160/,http://neuroelectro.org/article/33819/,Pinto DJ
-67,52,Rats,Wistar,Patch-clamp,in vitro,Neocortex basket cell,Parvalbumin-positive basket interneurons in monkey and rat prefrontal cortex.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18632882/,http://neuroelectro.org/data_table/280/,http://neuroelectro.org/article/33933/,Krimer LS
-69.7,71.4,Mice,C57BL,Patch-clamp,in vitro,Neocortex basket cell,Auditory thalamocortical transmission is reliable and temporally precise.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15928054/,http://neuroelectro.org/data_table/600/,http://neuroelectro.org/article/34198/,Metherate R
-67.6,75.3,Macaca mulatta,,Patch-clamp,in vitro,Neocortex basket cell,Functional properties of fast spiking interneurons and their synaptic connections with pyramidal cells in primate dorsolateral prefrontal cortex.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15385591/,http://neuroelectro.org/data_table/673/,http://neuroelectro.org/article/34258/,Lewis DA
-59.1,,Mice,C57BL,Patch-clamp,in vitro,Neocortex basket cell,Neuregulin-1 signals from the periphery regulate AMPA receptor sensitivity and expression in GABAergic interneurons in developing neocortex.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21490211/,http://neuroelectro.org/data_table/1637/,http://neuroelectro.org/article/35201/,Nawa H
-61.6,,Rats,Sprague-Dawley,Patch-clamp,in vivo,Neocortex basket cell,The synaptic representation of sound source location in auditory cortex.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19906961/,http://neuroelectro.org/data_table/1886/,http://neuroelectro.org/article/35584/,Margrie TW
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex basket cell,Spike-timing-dependent plasticity of neocortical excitatory synapses on inhibitory interneurons depends on target cell type.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17804631/,http://neuroelectro.org/data_table/2158/,http://neuroelectro.org/article/36072/,Zhang XH
-68.4,66,Mice,C57BL,Patch-clamp,in vitro,Neocortex basket cell,Physiologically distinct temporal cohorts of cortical interneurons arise from telencephalic Olig2-expressing precursors.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17634372/,http://neuroelectro.org/data_table/2180/,http://neuroelectro.org/article/36099/,Fishell G
-76.1,32.2,Rats,Wistar,Patch-clamp,in vivo,Neocortex basket cell,Background synaptic activity is sparse in neocortex.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16899721/,http://neuroelectro.org/data_table/2323/,http://neuroelectro.org/article/36311/,Helmchen F
-73,,Rats,Wistar,Patch-clamp,in vitro,Neocortex basket cell,Developmental synaptic changes increase the range of integrative capabilities of an identified excitatory neocortical connection.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10024344/,http://neuroelectro.org/data_table/3306/,http://neuroelectro.org/article/37700/,Audinat E
,78,Rats,Wistar,Patch-clamp,in vitro,Neocortex basket cell,Flexible spike timing of layer 5 neurons during dynamic beta oscillation shifts in rat prefrontal cortex.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19752121/,http://neuroelectro.org/data_table/9292/,http://neuroelectro.org/article/40619/,Mansvelder HD
-67.1,63.85,Mice,C57BL,Patch-clamp,in vitro,Neocortex bipolar neuron,Functional characterization of intrinsic cholinergic interneurons in the cortex.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17522308/,http://neuroelectro.org/data_table/2204/,http://neuroelectro.org/article/36125/,Monyer H
-70,55,Macaca mulatta,,Patch-clamp,in vitro,Neocortex chandelier cell,Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15987765/,http://neuroelectro.org/data_table/584/,http://neuroelectro.org/article/34180/,Lewis DA
-66.6,78.7,Macaca mulatta,,Patch-clamp,in vitro,Neocortex chandelier cell,Functional properties of fast spiking interneurons and their synaptic connections with pyramidal cells in primate dorsolateral prefrontal cortex.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15385591/,http://neuroelectro.org/data_table/673/,http://neuroelectro.org/article/34258/,Lewis DA
-81.1,74.7,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,Predomice of late-spiking neurons in layer VI of rat perirhinal cortex.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11438572/,http://neuroelectro.org/data_table/3021/,http://neuroelectro.org/article/14292/,Brown TH
-67.15,,Mice,C57BL,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,Characterization of thalamocortical responses of regular-spiking and fast-spiking neurons of the mouse auditory cortex in vitro and in silico.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22090462/,http://neuroelectro.org/data_table/12/,http://neuroelectro.org/article/33698/,Reyes AD
-67.5,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,Response sensitivity of barrel neuron subpopulations to simulated thalamic input.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20375248/,http://neuroelectro.org/data_table/159/; http://neuroelectro.org/data_table/160/,http://neuroelectro.org/article/33819/,Pinto DJ
,85.9,Rats,Wistar,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19052106/,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/,Lambolez B
-74.3,84.5,Mice,C57BL,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,Auditory thalamocortical transmission is reliable and temporally precise.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15928054/,http://neuroelectro.org/data_table/600/,http://neuroelectro.org/article/34198/,Metherate R
-60.32,76.43,Mice,C57BL,Patch-clamp,in vitro,Neocortex layer 4 stellate cell,mGluR5 in cortical excitatory neurons exerts both cell-autonomous and -nonautonomous influences on cortical somatosensory circuit formation.,2010,http://www.ncbi.nlm.nih.gov/pubmed/21159961/,http://neuroelectro.org/data_table/1682/,http://neuroelectro.org/article/35280/,Lu HC
,54.97,Rats,Wistar,Patch-clamp,in vitro,Neocortex Martinotti cell,Anatomical physiological and molecular properties of Martinotti cells in the somatosensory cortex of the juvenile rat.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15331670/,http://neuroelectro.org/data_table/7889/,http://neuroelectro.org/article/7273/,Markram H
-58.7,,Mice,C57BL,Patch-clamp,in vitro,Neocortex Martinotti cell,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20538767/,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/,Connors BW
-58.7,,Mice,C57BL,Patch-clamp,in vitro,Neocortex Martinotti cell,Electrophysiological classification of somatostatin-positive interneurons in mouse sensorimotor cortex.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16707715/,http://neuroelectro.org/data_table/492/,http://neuroelectro.org/article/34112/,Prince DA
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex Martinotti cell,Spike-timing-dependent plasticity of neocortical excitatory synapses on inhibitory interneurons depends on target cell type.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17804631/,http://neuroelectro.org/data_table/2158/,http://neuroelectro.org/article/36072/,Zhang XH
-54.5,64,Mice,C57BL,Patch-clamp,in vitro,Neocortex Martinotti cell,Impaired inhibitory control of cortical synchronization in fragile X syndrome.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21795626/,http://neuroelectro.org/data_table/11767/,http://neuroelectro.org/article/55561/,Huntsman MM
-65.04,64.68,Mice,C57BL,Patch-clamp,in vitro,Neocortex Martinotti cell,Dense inhibitory connectivity in neocortex.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21435562/,http://neuroelectro.org/data_table/23200/,http://neuroelectro.org/article/80730/,Yuste R
-78.3,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Prolonged synaptic integration in perirhinal cortical neurons.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10848549/,http://neuroelectro.org/data_table/1107/,http://neuroelectro.org/article/12377/,Brown TH
-78.56,67.8,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Subtype-specific dendritic Ca(2+) dynamics of inhibitory interneurons in the rat visual cortex.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20554844/,http://neuroelectro.org/data_table/152/,http://neuroelectro.org/article/27420/,Rhie DJ
-68.1,,Mice,C57BL,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,The roles of somatostatin-expressing (GIN) and fast-spiking inhibitory interneurons in UP-DOWN states of mouse neocortex.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20538767/,http://neuroelectro.org/data_table/150/,http://neuroelectro.org/article/33813/,Connors BW
,84.7,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19052106/,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/,Lambolez B
-75,48,Mice,C57BL,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Maturation of intrinsic and synaptic properties of layer 2/3 pyramidal neurons in mouse auditory cortex.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18417631/,http://neuroelectro.org/data_table/305/,http://neuroelectro.org/article/33958/,Reyes AD
-83,,Rats,Wistar,Sharp,in vitro,Neocortex pyramidal cell layer 2-3,Characterization of neuronal migration disorders in neocortical structures. II. Intracellular in vitro recordings.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9658031/,http://neuroelectro.org/data_table/1296/,http://neuroelectro.org/article/34802/,Zilles K
-72.7,,Rats,Sprague-Dawley,Sharp,in vitro,Neocortex pyramidal cell layer 2-3,Epileptogenesis following neocortical trauma from two sources of disinhibition.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9356429/,http://neuroelectro.org/data_table/1356/,http://neuroelectro.org/article/34873/,Benardo LS
-76,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Specialized cortical subnetworks differentially connect frontal cortex to parahippocampal areas.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22302828/,http://neuroelectro.org/data_table/1474/,http://neuroelectro.org/article/34982/,Kawaguchi Y
-76,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 2-3,Sensory experience alters cortical connectivity and synaptic function site specifically.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17392462/,http://neuroelectro.org/data_table/2217/,http://neuroelectro.org/article/36170/,Finnerty GT
-73.9,66.5,Rats,Wistar,Patch-clamp,in vivo,Neocortex pyramidal cell layer 2-3,Background synaptic activity is sparse in neocortex.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16899721/,http://neuroelectro.org/data_table/2323/,http://neuroelectro.org/article/36311/,Helmchen F
-63.4,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Mechanisms and consequences of action potential burst firing in rat neocortical pyramidal neurons.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10581316/,http://neuroelectro.org/data_table/8003/,http://neuroelectro.org/article/10706/,Stuart GJ
-68.37,88.86,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Properties of layer 6 pyramidal neuron apical dendrites.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20881121/,http://neuroelectro.org/data_table/1719/,http://neuroelectro.org/article/11328/,Larkum ME
-72.69,87.46,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Early exposure to alcohol leads to permanent impairment of dendritic excitability in neocortical pyramidal neurons.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22279222/,http://neuroelectro.org/data_table/1478/,http://neuroelectro.org/article/24352/,Larkum ME
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,GABAA receptor-mediated currents in interneurons and pyramidal cells of rat visual cortex.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9503333/,http://neuroelectro.org/data_table/8339/,http://neuroelectro.org/article/28721/,Prince DA
-64.1,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Differential effects of Na+-K+ ATPase blockade on cortical layer V neurons.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20819946/,http://neuroelectro.org/data_table/8365/,http://neuroelectro.org/article/29326/,Prince DA
-80.4,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Action potential initiation and propagation in layer 5 pyramidal neurons of the rat prefrontal cortex: absence of dopamine modulation.,2003,http://www.ncbi.nlm.nih.gov/pubmed/14673000/,http://neuroelectro.org/data_table/2661/,http://neuroelectro.org/article/31092/,Stuart GJ
-61.5,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,GABAergic synaptic inhibition is reduced before seizure onset in a genetic model of cortical malformation.,2006,http://www.ncbi.nlm.nih.gov/pubmed/17050714/,http://neuroelectro.org/data_table/2288/,http://neuroelectro.org/article/32487/,Lee KS
,93.85,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Glutamatergic nonpyramidal neurons from neocortical layer VI and their comparison with pyramidal and spiny stellate neurons.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19052106/,http://neuroelectro.org/data_table/253/,http://neuroelectro.org/article/33912/,Lambolez B
-67,,Mice,C57BL,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Morphological and physiological characterization of layer VI corticofugal neurons of mouse primary visual cortex.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12740416/,http://neuroelectro.org/data_table/826/,http://neuroelectro.org/article/34389/,Yuste R
-67,,Rats,Sprague-Dawley,Sharp,in vitro,Neocortex pyramidal cell layer 5-6,Epileptogenesis following neocortical trauma from two sources of disinhibition.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9356429/,http://neuroelectro.org/data_table/1356/,http://neuroelectro.org/article/34873/,Benardo LS
-74.4,,Mice,C57BL,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Increased excitability and inward rectification in layer V cortical pyramidal neurons in the epileptic mutant mouse Stargazer.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9065835/,http://neuroelectro.org/data_table/1439/,http://neuroelectro.org/article/34943/,Noebels JL
-65.7,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Specialized cortical subnetworks differentially connect frontal cortex to parahippocampal areas.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22302828/,http://neuroelectro.org/data_table/1474/,http://neuroelectro.org/article/34982/,Kawaguchi Y
-82.4,86.4,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Enhanced function of prefrontal serotonin 5-HT(2) receptors in a rat model of psychiatric vulnerability.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20826676/,http://neuroelectro.org/data_table/1733/,http://neuroelectro.org/article/35355/,Vaidya VA
-65.9,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Dopamine and corticotropin-releasing factor synergistically alter basolateral amygdala-to-medial prefrontal cortex synaptic transmission: functional switch after chronic cocaine administration.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18184795/,http://neuroelectro.org/data_table/2104/,http://neuroelectro.org/article/35977/,Gallagher JP
,,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Postnatal development of synaptic transmission in local networks of L5A pyramidal neurons in rat somatosensory cortex.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17916610/,http://neuroelectro.org/data_table/9184/,http://neuroelectro.org/article/40341/,Sakmann B
,83.8,Rats,Wistar,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Flexible spike timing of layer 5 neurons during dynamic beta oscillation shifts in rat prefrontal cortex.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19752121/,http://neuroelectro.org/data_table/9292/,http://neuroelectro.org/article/40619/,Mansvelder HD
-60.15,,Mice,C57BL,Patch-clamp,in vitro,Neocortex pyramidal cell layer 5-6,Electrophysiological Abnormalities in Both Axotomized and Nonaxotomized Pyramidal Neurons following Mild Traumatic Brain Injury.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22573690/,http://neuroelectro.org/data_table/14294/,http://neuroelectro.org/article/63737/,Jacobs KM
,79,Rats,Sprague-Dawley,Sharp,in vitro,Neocortex uncharacterized cell,Specificity in the interaction of HVA Ca2+ channel types with Ca2+-dependent AHPs and firing behavior in neocortical pyramidal neurons.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9582225/,http://neuroelectro.org/data_table/1307/,http://neuroelectro.org/article/4697/,Foehring RC
-54,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neocortex uncharacterized cell,Fear conditioning and extinction differentially modify the intrinsic excitability of infralimbic neurons.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18400902/,http://neuroelectro.org/data_table/2071/; http://neuroelectro.org/data_table/2072/,http://neuroelectro.org/article/27668/,Porter JT
-57.8,,Rats,Sprague-Dawley,Patch-clamp,in vivo,Neocortex uncharacterized cell,The synaptic representation of sound source location in auditory cortex.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19906961/,http://neuroelectro.org/data_table/1886/,http://neuroelectro.org/article/35584/,Margrie TW
,79.4,Rats,Sprague-Dawley,Sharp,in vitro,Neostriatum cholinergic cell,Reduction of an afterhyperpolarization current increases excitability in striatal cholinergic interneurons in rat parkinsonism.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21525296/,http://neuroelectro.org/data_table/1632/,http://neuroelectro.org/article/35194/,Murer MG
-57,,Mice,C57BL,Patch-clamp,in vitro,Neostriatum cholinergic cell,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147549/,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/,Kreitzer AC
-61.9,61.3,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neostriatum cholinergic cell,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17974593/,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/,Vece L
-82,,Mice,C57BL,Patch-clamp,in vitro,Neostriatum gabaergic interneuron,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147549/,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/,Kreitzer AC
-64.5,57.1,Rats,Sprague-Dawley,Patch-clamp,cell culture,Neostriatum gabaergic interneuron,Quantitative estimate of synaptic inputs to striatal neurons during up and down states in vitro.,2003,http://www.ncbi.nlm.nih.gov/pubmed/14534246/,http://neuroelectro.org/data_table/2699/,http://neuroelectro.org/article/36921/,Plenz D
-64,29,Rats,Sprague-Dawley,Sharp,cell culture,Neostriatum gabaergic interneuron,Up and down states in striatal medium spiny neurons simultaneously recorded with spontaneous activity in fast-spiking interneurons studied in cortex-striatum-substantia nigra organotypic cultures.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9412506/,http://neuroelectro.org/data_table/3439/,http://neuroelectro.org/article/37862/,Kitai ST
-72.8,46.3,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neostriatum gabaergic interneuron,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17974593/,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/,Vece L
-86.4,75.2,Rats,Wistar,Sharp,in vitro,Neostriatum medium spiny neuron,Inhibitory interactions between spiny projection neurons in the rat striatum.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12205147/,http://neuroelectro.org/data_table/901/,http://neuroelectro.org/article/34445/,Wickens JR
-81,64.3,Mice,C57BL,Sharp,in vitro,Neostriatum medium spiny neuron,Electrophysiological and morphological changes in striatal spiny neurons in R6/2 Huntington's disease transgenic mice.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11731527/,http://neuroelectro.org/data_table/947/,http://neuroelectro.org/article/34502/,Levine MS
-95.3,,Rats,Wistar,Sharp,in vitro,Neostriatum medium spiny neuron,Dopamine D-1/D-5 receptor activation is required for long-term potentiation in the rat neostriatum in vitro.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11152712/,http://neuroelectro.org/data_table/1040/,http://neuroelectro.org/article/34589/,Wickens JR
-73,44.1,Songbirds,,Patch-clamp,in vitro,Neostriatum medium spiny neuron,Electrophysiological properties of avian basal ganglia neurons recorded in vitro.,2000,http://www.ncbi.nlm.nih.gov/pubmed/11067993/,http://neuroelectro.org/data_table/1070/,http://neuroelectro.org/article/34607/,Perkel DJ
-92,,Mice,C57BL,Patch-clamp,in vitro,Neostriatum medium spiny neuron,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147549/,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/,Kreitzer AC
-83.5,,Rats,Wistar,Patch-clamp,in vitro,Neostriatum medium spiny neuron,Dopamine receptor activation is required for corticostriatal spike-timing-dependent plasticity.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18322089/,http://neuroelectro.org/data_table/2087/,http://neuroelectro.org/article/35940/,Kerr JN
-78.75,67.05,Rats,Sprague-Dawley,Sharp,in vivo,Neostriatum medium spiny neuron,The nitric oxide-guanylyl cyclase signaling pathway modulates membrane activity States and electrophysiological properties of striatal medium spiny neurons recorded in vivo.,2004,http://www.ncbi.nlm.nih.gov/pubmed/14985433/,http://neuroelectro.org/data_table/2637/; http://neuroelectro.org/data_table/2638/,http://neuroelectro.org/article/36837/,Grace AA
-79.2,61.5,Rats,Sprague-Dawley,Patch-clamp,cell culture,Neostriatum medium spiny neuron,Quantitative estimate of synaptic inputs to striatal neurons during up and down states in vitro.,2003,http://www.ncbi.nlm.nih.gov/pubmed/14534246/,http://neuroelectro.org/data_table/2699/,http://neuroelectro.org/article/36921/,Plenz D
-81.6,39.9,Songbirds,,Patch-clamp,in vitro,Neostriatum medium spiny neuron,Dopamine modulates excitability of spiny neurons in the avian basal ganglia.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12077216/,http://neuroelectro.org/data_table/2891/,http://neuroelectro.org/article/37203/,Perkel DJ
-75,47,Rats,Sprague-Dawley,Sharp,cell culture,Neostriatum medium spiny neuron,Up and down states in striatal medium spiny neurons simultaneously recorded with spontaneous activity in fast-spiking interneurons studied in cortex-striatum-substantia nigra organotypic cultures.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9412506/,http://neuroelectro.org/data_table/3439/,http://neuroelectro.org/article/37862/,Kitai ST
-75.3,68.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neostriatum medium spiny neuron,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17974593/,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/,Vece L
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Neostriatum medium spiny neuron,P2Y1 receptor modulation of Ca2+-activated K+ currents in medium-sized neurons from neonatal rat striatal slices.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22131374/,http://neuroelectro.org/data_table/7610/,http://neuroelectro.org/article/50667/,Gibb AJ
,56.4,Rats,Sprague-Dawley,Sharp,in vivo,Neostriatum medium spiny neuron,Regulation of action-potential firing in spiny neurons of the rat neostriatum in vivo.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9582211/,http://neuroelectro.org/data_table/10193/,http://neuroelectro.org/article/53902/,Wilson CJ
-87.5,47.7,Rats,Sprague-Dawley,Sharp,in vivo,Neostriatum medium spiny neuron,NMDA receptor gating of information flow through the striatum in vivo.,2008,http://www.ncbi.nlm.nih.gov/pubmed/19074011/,http://neuroelectro.org/data_table/12811/,http://neuroelectro.org/article/60501/,Murer MG
-61,,Mice,C57BL,Patch-clamp,in vitro,Neostriatum SOM/NOS cell,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20147549/,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/,Kreitzer AC
-70.65,73.65,Mice,C57BL,Patch-clamp,in vitro,Neostriatum TH+ cell,Postnatal development of tyrosine hydroxylase mRNA-expressing neurons in mouse neostriatum.,2011,http://www.ncbi.nlm.nih.gov/pubmed/22004548/,http://neuroelectro.org/data_table/19580/,http://neuroelectro.org/article/29280/,Aosaki T
-85.8,,Rats,Sprague-Dawley,Sharp,in vivo,Nucleus accumbens core neuron,Selective disruption of nucleus accumbens gating mechanisms in rats behaviorally sensitized to methamphetamine.,2005,http://www.ncbi.nlm.nih.gov/pubmed/16014730/,http://neuroelectro.org/data_table/2452/,http://neuroelectro.org/article/36548/,O'Donnell P
